time,space,speed,v_id
5579.0,60.768396939221724,15.266945126947016,39
5580.0,60.76410493424562,15.451217913970476,39
5581.0,60.759717806641575,15.79365937456542,39
5582.0,60.75518894861094,16.30388891027469,39
5583.0,60.750488841734914,16.920384753718754,39
5584.0,60.74559147380564,17.630524545379505,39
5585.0,60.7404938852974,18.35131862968879,39
5586.0,60.73519710761952,19.06839964034851,39
5587.0,60.72973079513978,19.678724927057132,39
5588.0,60.72410747924743,20.243937212471877,39
5589.0,60.71834920253481,20.72979616542223,39
5590.0,60.712519734184355,20.986086061646436,39
5591.0,60.706648378983004,21.136878724854682,39
5592.0,60.70076432738959,21.182585736289045,39
5593.0,60.69489498052045,21.129648728896303,39
5594.0,60.68905757063294,21.01467559504008,39
5595.0,60.68327220126244,20.827329733812206,39
5596.0,60.67754947840201,20.60180229755403,39
5597.0,60.67190232842854,20.329739904494307,39
5598.0,60.66633376309379,20.04683520508833,39
5599.0,60.66083040959832,19.812072583690316,39
5600.0,60.65537419105212,19.64238676631529,39
5601.0,60.649946809746474,19.538572700335777,39
5602.0,60.64453912737325,19.467656543593776,39
5603.0,60.63912637936462,19.48589283106691,39
5604.0,60.63365610001381,19.693005662919507,39
5605.0,60.62810742469226,19.97523115758137,39
5606.0,60.62243712466776,20.41308008819637,39
5607.0,60.61665388430492,20.819665306254468,39
5608.0,60.61073985083979,21.29052047444967,39
5609.0,60.604676370795254,21.82852816032342,39
5610.0,60.598445241370264,22.432065929952525,39
5611.0,60.59204065950721,23.056494706988637,39
5612.0,60.58548454762756,23.602002766763,39
5613.0,60.578825818839626,23.971423636558768,39
5614.0,60.572047845889784,24.400702619417252,39
5615.0,60.5651463435462,24.84540843690735,39
5616.0,60.558206472497744,24.983535774438565,39
5617.0,60.551259125438506,25.010449413271253,39
5618.0,60.54425212024539,25.225218695205125,39
5619.0,60.53715150383109,25.562219091498903,39
5620.0,60.52992391654318,26.019314236459614,39
5621.0,60.522564986161164,26.492149375262276,39
5622.0,60.51499079446782,27.26709009603512,39
5623.0,60.50720522450679,28.028051859706505,39
5624.0,60.499280403507285,28.529355598235135,39
5625.0,60.49130877363269,28.697867548532557,39
5626.0,60.48333733465293,28.6971803271364,39
5627.0,60.4754387074042,28.435058095425962,39
5628.0,60.467663295675706,27.99148222257674,39
5629.0,60.459941171830394,27.799645843134634,39
5630.0,60.4523584909992,27.297650992270423,39
5631.0,60.445114318389834,26.079021393731185,39
5632.0,60.438253711894006,24.698183384979373,39
5633.0,60.43168348584204,23.652813787064318,39
5634.0,60.42506792941684,23.816003130735407,39
5635.0,60.41822423552372,24.63729801525323,39
5636.0,60.41106093149887,25.787894489462467,39
5637.0,60.403543334469546,27.06334930554648,39
5638.0,60.3956564402104,28.392819332925235,39
5639.0,60.387408518335725,29.692518748825346,39
5640.0,60.37879668436087,31.00260230947366,39
5641.0,60.369899123737746,32.03121824326423,39
5642.0,60.3608987619636,32.40130238691962,39
5643.0,60.35172455697523,33.02713795813548,39
5644.0,60.34224352928299,34.13169969206584,39
5645.0,60.3325267277101,34.98048566238651,39
5646.0,60.322552745289386,35.9063367145844,39
5647.0,60.3123556540663,36.709528403104855,39
5648.0,60.302210534076366,36.522431963775354,39
5649.0,60.2923492169658,35.50074159801226,39
5650.0,60.28267960945259,34.81058704755439,39
5651.0,60.27306605807868,34.60878494608037,39
5652.0,60.263903435321126,32.98544192721489,39
5653.0,60.255361152115746,30.752219539364916,39
5654.0,60.24699615525643,30.11398869351085,39
5655.0,60.23843936935869,30.804429231901462,39
5656.0,60.22974601734645,31.296067244039104,39
5657.0,60.221528769905916,29.582090785938266,39
5658.0,60.21383390509551,27.701513317439655,39
5659.0,60.20633617854888,26.99181556787779,39
5660.0,60.19886233690143,26.90582993083189,39
5661.0,60.19146949659247,26.614225112263192,39
5662.0,60.1843642654106,25.578832254726954,39
5663.0,60.17736199299221,25.208180706186173,39
5664.0,60.17032558738205,25.331060196583824,39
5665.0,60.16322523261818,25.56127714991948,39
5666.0,60.15618509311477,25.344502212292987,39
5667.0,60.14928032412121,24.857168376817064,39
5668.0,60.14239376121084,24.791626477334628,39
5669.0,60.13546529907939,24.94246367321315,39
5670.0,60.12841749909465,25.372079945066286,39
5671.0,60.12142101891613,25.1873286426655,39
5672.0,60.11498476571047,23.170511540385327,39
5673.0,60.10916270783321,20.959408358148657,39
5674.0,60.10385272990213,19.11592055186151,39
5675.0,60.09894461534244,17.669212414889493,39
5676.0,60.094276163608896,16.80642624075223,39
5677.0,60.08973428379301,16.350767337205035,39
5678.0,60.085279794160556,16.036162676834696,39
5679.0,60.08086178268916,15.90484129701293,39
5680.0,60.07650896309116,15.670150552804422,39
5681.0,60.07217054695525,15.618298089265341,39
5682.0,60.067795685402174,15.749501591076957,39
5683.0,60.06336919002822,15.935383346237785,39
5684.0,60.05888023607559,16.160234229474504,39
5685.0,60.054321521027674,16.411374172498235,39
5686.0,60.04973827230616,16.49969539744832,39
5687.0,60.04510876351369,16.66623165288412,39
5688.0,60.04039353236451,16.97483213704347,39
5689.0,60.035533655708434,17.495555961883213,39
5690.0,60.03051333751552,18.073145494478265,39
5691.0,60.02531467170969,18.715196901006877,39
5692.0,60.01991331862809,19.444871093742936,39
5693.0,60.01424391470203,20.409854133843663,39
5694.0,60.008208004355495,21.72927724751825,39
5695.0,60.00179078806449,23.101978647615322,39
5696.0,59.99505902081518,24.234362097520588,39
5697.0,59.98811694904209,24.991458383117607,39
5698.0,59.981024386202435,25.533226222746833,39
5699.0,59.97376564931105,26.13145280900277,39
5700.0,59.96630212979377,26.868670262197266,39
5701.0,59.95868902069675,27.407192749256236,39
5702.0,59.951023047386805,27.59750391581419,39
